listRelation - relation - active,listRelation - relation - passive,listRelation - relation - type,listRelation - relation - subtype,listRelation - relation - ref
#speaker,#listener,request,unrelated,#say-01
#speaker,#listener,request,unrelated,#say-05
#speaker,#listener,request,unrelated,#say-12
#speaker,#listener,request,unrelated,#say-22
#speaker,#listener,unceratin,unrelated,#say-02
#speaker,#listener,unceratin,unrelated,#say-04
#speaker,#listener,unceratin,unrelated,#say-06
#speaker,#listener,narration,unrelated,#say-03
#speaker,#listener,narration,unrelated,#say-07
#speaker,#listener,narration,unrelated,#say-08
#speaker,#listener,narration,unrelated,#say-09
#speaker,#listener,narration,unrelated,#say-10
#speaker,#listener,narration,unrelated,#say-11
#speaker,#listener,narration,unrelated,#say-13
#speaker,#listener,narration,unrelated,#say-14
#speaker,#listener,narration,unrelated,#say-15
#speaker,#listener,narration,unrelated,#say-16
#speaker,#listener,narration,unrelated,#say-17
#speaker,#listener,narration,unrelated,#say-18
#speaker,#listener,narration,unrelated,#say-19
#speaker,#listener,narration,unrelated,#say-20
#speaker,#listener,narration,unrelated,#say-21
#speaker,#POFT,request,unrelated,#say-01
#speaker,#POFT,request,unrelated,#say-12
#speaker,#POFT,request,unrelated,#say-22
#listener,#POFT,request,unrelated,#say-01
#listener,#POFT,request,unrelated,#say-12
#listener,#POFT,request,unrelated,#say-22
